=9x3
0,-4,
1,-2,
-1,-2,
-3,0,
0,0,
3,0,
1,2,
-1,2,
0,4,
=1x2
SYS_WAFERID,25
=120x13
IDLIN_A02G_NSVT10_X130X230Y230Y12_d12_1,,R,uA,+2.936500E+00,+2.853000E+00,+2.819000E+00,+2.951500E+00,+2.874000E+00,+2.929500E+00,+2.891500E+00,+2.889000E+00,+2.930000E+00
IDSAT_A02G_NSVT10_X130X230Y230Y12_d12_1,,R,mA,+1.299500E-02,+1.252000E-02,+1.221500E-02,+1.301500E-02,+1.253500E-02,+1.319500E-02,+1.294000E-02,+1.282500E-02,+1.311000E-02
VTHI_A02G_NSVT10_X130X230Y230Y12_d12_1,,R,V,+2.785000E-01,+2.709000E-01,+2.853000E-01,+2.621000E-01,+2.831000E-01,+2.758000E-01,+2.656000E-01,+2.773000E-01,+2.457000E-01
IDLIN_A02H_NSVT10_X130X230Y230Y1D15_d12_d06,,R,uA,+1.794000E+01,+1.837500E+01,+1.702000E+01,+1.887000E+01,+1.808000E+01,+1.987500E+01,+1.761000E+01,+1.647500E+01,+1.798500E+01
IDSAT_A02H_NSVT10_X130X230Y230Y1D15_d12_d06,,R,mA,+6.507500E-02,+6.496000E-02,+6.214500E-02,+6.824000E-02,+6.479500E-02,+7.053500E-02,+6.033000E-02,+6.507500E-02,+6.461000E-02
VTHI_A02H_NSVT10_X130X230Y230Y1D15_d12_d06,,R,V,+4.410000E-01,+4.546000E-01,+4.149000E-01,+4.402000E-01,+4.106000E-01,+4.178000E-01,+4.491000E-01,+4.532000E-01,+4.085000E-01
IDLIN_A03A_NSVT10_X130X230Y230Y1D3_d12_d06,,R,uA,+1.999500E+01,+1.762500E+01,+1.902500E+01,+1.769500E+01,+1.864000E+01,+1.618500E+01,+1.994000E+01,+2.100000E+01,+1.868500E+01
IDSAT_A03A_NSVT10_X130X230Y230Y1D3_d12_d06,,R,mA,+6.666500E-02,+6.154500E-02,+6.772500E-02,+6.689000E-02,+6.560000E-02,+5.364000E-02,+7.416500E-02,+8.045000E-02,+6.855500E-02
VTHI_A03A_NSVT10_X130X230Y230Y1D3_d12_d06,,R,V,+4.395000E-01,+4.526000E-01,+4.321000E-01,+4.233000E-01,+4.517000E-01,+5.652000E-01,+3.797000E-01,+3.167000E-01,+3.939000E-01
IDLIN_A03B_NSVT10_X130X230Y230Y1D5_d12_d06,,R,uA,+1.998000E+01,+1.924000E+01,+1.731500E+01,+1.866500E+01,+1.685500E+01,+1.957000E+01,+2.204000E+01,+1.925000E+01,+1.875000E+01
IDSAT_A03B_NSVT10_X130X230Y230Y1D5_d12_d06,,R,mA,+7.399000E-02,+6.996000E-02,+6.787000E-02,+7.505000E-02,+6.150000E-02,+7.005000E-02,+8.158500E-02,+7.117500E-02,+6.903000E-02
VTHI_A03B_NSVT10_X130X230Y230Y1D5_d12_d06,,R,V,+3.826000E-01,+4.354000E-01,+4.267000E-01,+4.428000E-01,+5.038000E-01,+3.933000E-01,+3.980000E-01,+4.287000E-01,+4.289000E-01
IDLIN_A03C_NSVT10_X130X230Y230Y11_d12_d06,,R,uA,+1.961500E+01,+1.867000E+01,+2.151000E+01,+1.789000E+01,+1.745000E+01,+2.184000E+01,+1.904500E+01,+1.716000E+01,+1.873000E+01
IDSAT_A03C_NSVT10_X130X230Y230Y11_d12_d06,,R,mA,+7.511500E-02,+6.564500E-02,+8.468500E-02,+6.175500E-02,+6.308500E-02,+7.889000E-02,+6.912000E-02,+6.202000E-02,+7.122000E-02
VTHI_A03C_NSVT10_X130X230Y230Y11_d12_d06,,R,V,+4.011000E-01,+4.583000E-01,+3.576000E-01,+4.558000E-01,+4.429000E-01,+3.532000E-01,+4.352000E-01,+4.768000E-01,+4.186000E-01
IDLIN_A03D_NSVT10_X130X230Y230Y12_d12_d06,,R,uA,+1.856000E+01,+1.827500E+01,+2.005000E+01,+1.833500E+01,+1.711500E+01,+2.130500E+01,+1.821500E+01,+1.797500E+01,+2.069500E+01
IDSAT_A03D_NSVT10_X130X230Y230Y12_d12_d06,,R,mA,+6.586500E-02,+6.464000E-02,+7.552500E-02,+7.023000E-02,+6.310000E-02,+7.898500E-02,+6.496000E-02,+6.728000E-02,+7.613500E-02
VTHI_A03D_NSVT10_X130X230Y230Y12_d12_d06,,R,V,+4.398000E-01,+4.429000E-01,+3.821000E-01,+4.431000E-01,+4.451000E-01,+3.631000E-01,+4.590000E-01,+4.452000E-01,+3.829000E-01
IDLIN_A03E_PSVT10_X130X230Y230Y1D3_d12_d06,,R,uA,-1.068000E+01,-9.993500E+00,-9.786500E+00,-9.559000E+00,-9.486000E+00,-8.792000E+00,-1.006650E+01,-9.463500E+00,-1.032500E+01
IDSAT_A03E_PSVT10_X130X230Y230Y1D3_d12_d06,,R,mA,-4.624000E-02,-4.119500E-02,-4.098000E-02,-4.091500E-02,-3.886000E-02,-3.551500E-02,-4.204500E-02,-3.856000E-02,-4.297000E-02
VTHI_A03E_PSVT10_X130X230Y230Y1D3_d12_d06,,R,V,-4.549000E-01,-4.824000E-01,-4.749000E-01,-4.656000E-01,-5.086000E-01,-5.311000E-01,-4.473000E-01,-5.249000E-01,-4.452000E-01
IDLIN_A03F_PSVT10_X130X230Y230Y1D5_d12_d06,,R,uA,-9.936000E+00,-1.013500E+01,-9.651000E+00,-9.787000E+00,-9.225000E+00,-1.039000E+01,-8.865000E+00,-9.811500E+00,-9.365000E+00
IDSAT_A03F_PSVT10_X130X230Y230Y1D5_d12_d06,,R,mA,-4.136000E-02,-4.265500E-02,-3.987500E-02,-4.114000E-02,-3.767000E-02,-4.378000E-02,-3.691500E-02,-3.985000E-02,-3.736000E-02
VTHI_A03F_PSVT10_X130X230Y230Y1D5_d12_d06,,R,V,-4.831000E-01,-4.491000E-01,-5.132000E-01,-4.865000E-01,-4.993000E-01,-4.751000E-01,-5.074000E-01,-5.028000E-01,-4.651000E-01
IDLIN_A03G_PSVT10_X130X230Y230Y11_d12_d06,,R,uA,-9.684000E+00,-1.040000E+01,-9.026000E+00,-1.081000E+01,-8.134500E+00,-1.034000E+01,-9.628500E+00,-9.940000E+00,-1.045500E+01
IDSAT_A03G_PSVT10_X130X230Y230Y11_d12_d06,,R,mA,-4.057500E-02,-4.540500E-02,-3.552000E-02,-4.602000E-02,-2.885000E-02,-4.393000E-02,-4.031500E-02,-4.048000E-02,-4.379000E-02
VTHI_A03G_PSVT10_X130X230Y230Y11_d12_d06,,R,V,-4.985000E-01,-4.304000E-01,-4.956000E-01,-4.573000E-01,-5.529000E-01,-4.580000E-01,-4.846000E-01,-4.904000E-01,-4.558000E-01
IDLIN_A03H_PSVT10_X130X230Y230Y12_d12_d06,,R,uA,-9.996500E+00,-9.568000E+00,-9.703000E+00,-1.059000E+01,-1.042000E+01,-9.919500E+00,-9.678500E+00,-1.076500E+01,-1.044000E+01
IDSAT_A03H_PSVT10_X130X230Y230Y12_d12_d06,,R,mA,-4.212500E-02,-4.044000E-02,-3.877000E-02,-4.302000E-02,-4.347000E-02,-4.100500E-02,-3.932000E-02,-4.506500E-02,-4.443000E-02
